기준일,계정과목,금액
2025-01-31,보통예금,1010253499
2025-01-31,외상매출금,57037059
2025-01-31,미수금,258202
2025-01-31,선급금,1515155
2025-01-31,선급비용,482348
2025-01-31,선납세금,32432
2025-01-31,비품,30000000
2025-01-31,무형자산(개발비등),20000000
2025-01-31,임차보증금등,15000000
2025-01-31,외상매입금,55371502
2025-01-31,미지급금,13550770
2025-01-31,예수금,3949504
2025-01-31,부가세예수금,4630131
2025-01-31,단기차입금,50000000
2025-01-31,미지급비용,949087
2025-01-31,장기차입금,300000000
2025-01-31,자본금,100000000
2025-01-31,자본잉여금,400000000
2025-01-31,이익잉여금,206127701
2025-02-28,보통예금,1011836496
2025-02-28,외상매출금,61466303
2025-02-28,미수금,412000
2025-02-28,선급금,1767926
2025-02-28,선급비용,431561
2025-02-28,선납세금,53285
2025-02-28,비품,30000000
2025-02-28,무형자산(개발비등),20000000
2025-02-28,임차보증금등,15000000
2025-02-28,외상매입금,51310079
2025-02-28,미지급금,12113800
2025-02-28,예수금,4180724
2025-02-28,부가세예수금,7780587
2025-02-28,단기차입금,50000000
2025-02-28,미지급비용,727594
2025-02-28,장기차입금,300000000
2025-02-28,자본금,100000000
2025-02-28,자본잉여금,400000000
2025-02-28,이익잉여금,214854787
2025-03-31,보통예금,1008238065
2025-03-31,외상매출금,68435426
2025-03-31,미수금,268305
2025-03-31,선급금,1701839
2025-03-31,선급비용,416875
2025-03-31,선납세금,54626
2025-03-31,비품,30000000
2025-03-31,무형자산(개발비등),20000000
2025-03-31,임차보증금등,15000000
2025-03-31,외상매입금,37793930
2025-03-31,미지급금,12986594
2025-03-31,예수금,4764719
2025-03-31,부가세예수금,8161628
2025-03-31,단기차입금,50000000
2025-03-31,미지급비용,786989
2025-03-31,장기차입금,300000000
2025-03-31,자본금,100000000
2025-03-31,자본잉여금,400000000
2025-03-31,이익잉여금,229621276
2025-04-30,보통예금,1038004391
2025-04-30,외상매출금,69317698
2025-04-30,미수금,367580
2025-04-30,선급금,1485972
2025-04-30,선급비용,322830
2025-04-30,선납세금,69609
2025-04-30,비품,30000000
2025-04-30,무형자산(개발비등),20000000
2025-04-30,임차보증금등,15000000
2025-04-30,외상매입금,51111375
2025-04-30,미지급금,9681455
2025-04-30,예수금,4552575
2025-04-30,부가세예수금,9500595
2025-04-30,단기차입금,50000000
2025-04-30,미지급비용,930227
2025-04-30,장기차입금,300000000
2025-04-30,자본금,100000000
2025-04-30,자본잉여금,400000000
2025-04-30,이익잉여금,248791853
2025-05-31,보통예금,1083133949
2025-05-31,외상매출금,73396534
2025-05-31,미수금,432420
2025-05-31,선급금,1275600
2025-05-31,선급비용,545336
2025-05-31,선납세금,52926
2025-05-31,비품,30000000
2025-05-31,무형자산(개발비등),20000000
2025-05-31,임차보증금등,15000000
2025-05-31,외상매입금,64961729
2025-05-31,미지급금,16184400
2025-05-31,예수금,4492498
2025-05-31,부가세예수금,11277598
2025-05-31,단기차입금,50000000
2025-05-31,미지급비용,748198
2025-05-31,장기차입금,300000000
2025-05-31,자본금,100000000
2025-05-31,자본잉여금,400000000
2025-05-31,이익잉여금,276172342
2025-06-30,보통예금,1088779395
2025-06-30,외상매출금,75611162
2025-06-30,미수금,262686
2025-06-30,선급금,1643473
2025-06-30,선급비용,482625
2025-06-30,선납세금,47083
2025-06-30,비품,30000000
2025-06-30,무형자산(개발비등),20000000
2025-06-30,임차보증금등,15000000
2025-06-30,외상매입금,54147626
2025-06-30,미지급금,15117159
2025-06-30,예수금,3981138
2025-06-30,부가세예수금,3806518
2025-06-30,단기차입금,50000000
2025-06-30,미지급비용,612153
2025-06-30,장기차입금,300000000
2025-06-30,자본금,100000000
2025-06-30,자본잉여금,400000000
2025-06-30,이익잉여금,304161830
2025-07-31,보통예금,1116913658
2025-07-31,외상매출금,68496247
2025-07-31,미수금,309736
2025-07-31,선급금,1956099
2025-07-31,선급비용,432285
2025-07-31,선납세금,50914
2025-07-31,비품,30000000
2025-07-31,무형자산(개발비등),20000000
2025-07-31,임차보증금등,15000000
2025-07-31,외상매입금,53394625
2025-07-31,미지급금,11329484
2025-07-31,예수금,4220320
2025-07-31,부가세예수금,6335638
2025-07-31,단기차입금,50000000
2025-07-31,미지급비용,708205
2025-07-31,장기차입금,300000000
2025-07-31,자본금,100000000
2025-07-31,자본잉여금,400000000
2025-07-31,이익잉여금,327170667
2025-08-31,보통예금,1116164069
2025-08-31,외상매출금,88542993
2025-08-31,미수금,466264
2025-08-31,선급금,1793146
2025-08-31,선급비용,465161
2025-08-31,선납세금,55036
2025-08-31,비품,30000000
2025-08-31,무형자산(개발비등),20000000
2025-08-31,임차보증금등,15000000
2025-08-31,외상매입금,48708129
2025-08-31,미지급금,13290918
2025-08-31,예수금,4340582
2025-08-31,부가세예수금,7967781
2025-08-31,단기차입금,50000000
2025-08-31,미지급비용,675725
2025-08-31,장기차입금,300000000
2025-08-31,자본금,100000000
2025-08-31,자본잉여금,400000000
2025-08-31,이익잉여금,347503534
2025-09-30,보통예금,1159642625
2025-09-30,외상매출금,73082066
2025-09-30,미수금,293477
2025-09-30,선급금,1556767
2025-09-30,선급비용,311248
2025-09-30,선납세금,50173
2025-09-30,비품,30000000
2025-09-30,무형자산(개발비등),20000000
2025-09-30,임차보증금등,15000000
2025-09-30,외상매입금,42028860
2025-09-30,미지급금,22880354
2025-09-30,예수금,4838066
2025-09-30,부가세예수금,5851254
2025-09-30,단기차입금,50000000
2025-09-30,미지급비용,868369
2025-09-30,장기차입금,300000000
2025-09-30,자본금,100000000
2025-09-30,자본잉여금,400000000
2025-09-30,이익잉여금,373469453
2025-10-31,보통예금,1181070097
2025-10-31,외상매출금,73548580
2025-10-31,미수금,310234
2025-10-31,선급금,1518856
2025-10-31,선급비용,543171
2025-10-31,선납세금,55533
2025-10-31,비품,30000000
2025-10-31,무형자산(개발비등),20000000
2025-10-31,임차보증금등,15000000
2025-10-31,외상매입금,46166998
2025-10-31,미지급금,18433036
2025-10-31,예수금,4192624
2025-10-31,부가세예수금,6765838
2025-10-31,단기차입금,50000000
2025-10-31,미지급비용,832694
2025-10-31,장기차입금,300000000
2025-10-31,자본금,100000000
2025-10-31,자본잉여금,400000000
2025-10-31,이익잉여금,395655281
2025-11-30,보통예금,1208329281
2025-11-30,외상매출금,91678901
2025-11-30,미수금,422335
2025-11-30,선급금,1443638
2025-11-30,선급비용,452919
2025-11-30,선납세금,27521
2025-11-30,비품,30000000
2025-11-30,무형자산(개발비등),20000000
2025-11-30,임차보증금등,15000000
2025-11-30,외상매입금,47008673
2025-11-30,미지급금,22931509
2025-11-30,예수금,4254201
2025-11-30,부가세예수금,13912500
2025-11-30,단기차입금,50000000
2025-11-30,미지급비용,615641
2025-11-30,장기차입금,300000000
2025-11-30,자본금,100000000
2025-11-30,자본잉여금,400000000
2025-11-30,이익잉여금,428632071
2025-12-31,보통예금,1251803300
2025-12-31,외상매출금,91459546
2025-12-31,미수금,75686
2025-12-31,선급금,1249021
2025-12-31,선급비용,348000
2025-12-31,선납세금,49031
2025-12-31,비품,30000000
2025-12-31,무형자산(개발비등),20000000
2025-12-31,임차보증금등,15000000
2025-12-31,외상매입금,55872307
2025-12-31,미지급금,25767682
2025-12-31,예수금,3591917
2025-12-31,부가세예수금,6835990
2025-12-31,단기차입금,50000000
2025-12-31,미지급비용,873657
2025-12-31,장기차입금,300000000
2025-12-31,자본금,100000000
2025-12-31,자본잉여금,400000000
2025-12-31,이익잉여금,467043031
2026-01-31,보통예금,1275879863
2026-01-31,외상매출금,71928101
2026-01-31,미수금,420290
2026-01-31,선급금,1706737
2026-01-31,선급비용,439920
2026-01-31,선납세금,32859
2026-01-31,비품,30000000
2026-01-31,무형자산(개발비등),20000000
2026-01-31,임차보증금등,15000000
2026-01-31,외상매입금,47716345
2026-01-31,미지급금,19145117
2026-01-31,예수금,3929585
2026-01-31,부가세예수금,9546163
2026-01-31,단기차입금,50000000
2026-01-31,미지급비용,847887
2026-01-31,장기차입금,300000000
2026-01-31,자본금,100000000
2026-01-31,자본잉여금,400000000
2026-01-31,이익잉여금,484222673
2026-02-28,보통예금,1317537517
2026-02-28,외상매출금,68137995
2026-02-28,미수금,199765
2026-02-28,선급금,1790249
2026-02-28,선급비용,405799
2026-02-28,선납세금,50550
2026-02-28,비품,30000000
2026-02-28,무형자산(개발비등),20000000
2026-02-28,임차보증금등,15000000
2026-02-28,외상매입금,60995359
2026-02-28,미지급금,26354461
2026-02-28,예수금,3020072
2026-02-28,부가세예수금,12386905
2026-02-28,단기차입금,50000000
2026-02-28,미지급비용,959705
2026-02-28,장기차입금,300000000
2026-02-28,자본금,100000000
2026-02-28,자본잉여금,400000000
2026-02-28,이익잉여금,499405373
2026-03-31,보통예금,1316662097
2026-03-31,외상매출금,83536060
2026-03-31,미수금,406168
2026-03-31,선급금,1474951
2026-03-31,선급비용,591654
2026-03-31,선납세금,61393
2026-03-31,비품,30000000
2026-03-31,무형자산(개발비등),20000000
2026-03-31,임차보증금등,15000000
2026-03-31,외상매입금,62987400
2026-03-31,미지급금,17220056
2026-03-31,예수금,4236697
2026-03-31,부가세예수금,7490995
2026-03-31,단기차입금,50000000
2026-03-31,미지급비용,687682
2026-03-31,장기차입금,300000000
2026-03-31,자본금,100000000
2026-03-31,자본잉여금,400000000
2026-03-31,이익잉여금,525109493
2026-04-30,보통예금,1353214321
2026-04-30,외상매출금,90898121
2026-04-30,미수금,288471
2026-04-30,선급금,1299828
2026-04-30,선급비용,597890
2026-04-30,선납세금,44467
2026-04-30,비품,30000000
2026-04-30,무형자산(개발비등),20000000
2026-04-30,임차보증금등,15000000
2026-04-30,외상매입금,59450060
2026-04-30,미지급금,20454900
2026-04-30,예수금,3279931
2026-04-30,부가세예수금,19069980
2026-04-30,단기차입금,50000000
2026-04-30,미지급비용,707834
2026-04-30,장기차입금,300000000
2026-04-30,자본금,100000000
2026-04-30,자본잉여금,400000000
2026-04-30,이익잉여금,558380393
2026-05-31,보통예금,1396467732
2026-05-31,외상매출금,99561305
2026-05-31,미수금,106458
2026-05-31,선급금,1449664
2026-05-31,선급비용,203340
2026-05-31,선납세금,44923
2026-05-31,비품,30000000
2026-05-31,무형자산(개발비등),20000000
2026-05-31,임차보증금등,15000000
