거래일자,계정과목,구분,금액
2025-01-01,소모품비,비용,533000
2025-01-02,매출,수익,4133000
2025-01-02,소모품비,비용,537000
2025-01-02,광고선전비,비용,1525000
2025-01-03,매출원가,비용,17374000
2025-01-04,매출,수익,8917000
2025-01-05,매출,수익,12148000
2025-01-05,임차료,비용,6000000
2025-01-05,매출원가,비용,9066000
2025-01-07,매출,수익,9196000
2025-01-11,매출,수익,7286000
2025-01-11,지급수수료,비용,929000
2025-01-12,광고선전비,비용,1356000
2025-01-12,매출,수익,11068000
2025-01-12,매출,수익,7596000
2025-01-13,매출,수익,6014000
2025-01-17,매출원가,비용,8667000
2025-01-18,광고선전비,비용,2198000
2025-01-19,매출,수익,17002000
2025-01-19,매출,수익,6020000
2025-01-20,매출,수익,10743000
2025-01-20,매출,수익,9643000
2025-01-21,매출,수익,10823000
2025-01-21,매출원가,비용,5502000
2025-01-22,매출,수익,3310000
2025-01-22,지급수수료,비용,1244000
2025-01-23,소모품비,비용,656000
2025-01-25,급여,비용,42290000
2025-01-26,매출,수익,11108000
2025-01-27,매출원가,비용,3120000
2025-01-27,매출원가,비용,13302000
2025-01-31,광고선전비,비용,1577000
2025-01-31,매출원가,비용,11643000
2025-01-31,이자수익,수익,844000
2025-01-31,이자비용,비용,1531000
2025-02-02,매출,수익,7333000
2025-02-02,소모품비,비용,289000
2025-02-03,매출,수익,11289000
2025-02-04,광고선전비,비용,2418000
2025-02-04,소모품비,비용,213000
2025-02-04,매출원가,비용,15267000
2025-02-05,매출,수익,7944000
2025-02-05,임차료,비용,6000000
2025-02-07,소모품비,비용,244000
2025-02-07,매출,수익,4031000
2025-02-08,매출,수익,4682000
2025-02-09,소모품비,비용,299000
2025-02-09,매출원가,비용,12570000
2025-02-11,매출원가,비용,8855000
2025-02-11,매출,수익,9366000
2025-02-12,매출,수익,5672000
2025-02-13,매출,수익,1733000
2025-02-15,매출,수익,13457000
2025-02-15,매출,수익,10336000
2025-02-16,매출,수익,12835000
2025-02-16,지급수수료,비용,2483000
2025-02-17,소모품비,비용,436000
2025-02-21,매출원가,비용,9765000
2025-02-21,매출,수익,2696000
2025-02-21,매출,수익,12987000
2025-02-22,매출원가,비용,18553000
2025-02-23,매출,수익,7019000
2025-02-23,매출,수익,18086000
2025-02-24,광고선전비,비용,2810000
2025-02-25,급여,비용,41990000
2025-02-26,매출,수익,4286000
2025-02-26,광고선전비,비용,1847000
2025-02-27,매출원가,비용,5283000
2025-02-27,매출,수익,5865000
2025-02-28,이자비용,비용,1616000
2025-02-28,이자수익,수익,1007000
2025-03-03,매출원가,비용,20925000
2025-03-04,소모품비,비용,482000
2025-03-05,임차료,비용,6000000
2025-03-06,매출,수익,19769000
2025-03-06,매출,수익,14323000
2025-03-06,지급수수료,비용,1049000
2025-03-07,매출,수익,14412000
2025-03-08,매출,수익,19488000
2025-03-09,광고선전비,비용,2469000
2025-03-09,지급수수료,비용,69000
2025-03-11,매출원가,비용,37584000
2025-03-12,매출,수익,2479000
2025-03-15,소모품비,비용,307000
2025-03-15,매출,수익,4390000
2025-03-16,매출,수익,14159000
2025-03-18,매출,수익,1625000
2025-03-19,매출원가,비용,3329000
2025-03-19,매출,수익,9051000
2025-03-20,매출,수익,9018000
2025-03-21,매출,수익,11828000
2025-03-21,매출,수익,4538000
2025-03-21,소모품비,비용,754000
2025-03-21,매출,수익,2907000
2025-03-23,광고선전비,비용,2173000
2025-03-24,매출원가,비용,4262000
2025-03-24,매출원가,비용,12671000
2025-03-25,급여,비용,41605000
2025-03-26,지급수수료,비용,651000
2025-03-27,광고선전비,비용,3545000
2025-03-28,매출,수익,5715000
2025-03-28,매출,수익,11189000
2025-03-30,매출,수익,4839000
2025-03-31,이자수익,수익,943000
2025-03-31,이자비용,비용,1633000
2025-03-31,매출,수익,5224000
2025-04-01,매출,수익,11099000
2025-04-04,광고선전비,비용,1226000
2025-04-04,소모품비,비용,288000
2025-04-04,매출,수익,7763000
2025-04-05,매출,수익,16350000
2025-04-05,임차료,비용,6000000
2025-04-05,매출,수익,19093000
2025-04-06,광고선전비,비용,4159000
2025-04-07,지급수수료,비용,1027000
2025-04-08,매출,수익,12672000
2025-04-08,소모품비,비용,210000
2025-04-08,매출원가,비용,6971000
2025-04-08,매출원가,비용,5087000
2025-04-09,매출원가,비용,9537000
2025-04-11,소모품비,비용,287000
2025-04-11,매출,수익,9805000
2025-04-12,매출,수익,24957000
2025-04-17,소모품비,비용,340000
2025-04-20,매출원가,비용,4307000
2025-04-23,매출,수익,10743000
2025-04-24,매출,수익,7343000
2025-04-25,매출원가,비용,23902000
2025-04-25,급여,비용,41917000
2025-04-27,매출원가,비용,7488000
2025-04-28,매출,수익,8939000
2025-04-28,매출원가,비용,10273000
2025-04-28,매출,수익,14962000
2025-04-29,매출원가,비용,3943000
2025-04-29,광고선전비,비용,993000
2025-04-30,매출원가,비용,4605000
2025-04-30,매출,수익,10687000
2025-04-30,소모품비,비용,357000
2025-04-30,이자수익,수익,975000
2025-04-30,이자비용,비용,1194000
2025-05-01,매출,수익,15098000
2025-05-02,매출,수익,11916000
2025-05-02,매출,수익,4613000
2025-05-03,매출원가,비용,6552000
2025-05-03,지급수수료,비용,460000
2025-05-04,매출원가,비용,12861000
2025-05-05,임차료,비용,6000000
2025-05-07,매출,수익,11227000
2025-05-07,매출,수익,9371000
2025-05-08,매출,수익,19330000
2025-05-08,매출,수익,19067000
2025-05-11,매출,수익,14119000
2025-05-12,소모품비,비용,513000
2025-05-13,매출,수익,8165000
2025-05-13,매출,수익,4150000
2025-05-14,매출,수익,16424000
2025-05-15,매출,수익,11913000
2025-05-15,매출원가,비용,9379000
2025-05-18,소모품비,비용,705000
2025-05-18,매출원가,비용,4103000
2025-05-20,매출원가,비용,24843000
2025-05-21,매출,수익,2824000
2025-05-22,매출,수익,11628000
2025-05-23,매출,수익,8229000
2025-05-24,매출원가,비용,25980000
2025-05-24,광고선전비,비용,1506000
2025-05-24,지급수수료,비용,689000
2025-05-25,급여,비용,41872000
2025-05-26,광고선전비,비용,6192000
2025-05-26,매출,수익,11871000
2025-05-28,지급수수료,비용,737000
2025-05-29,매출원가,비용,6991000
2025-05-31,이자수익,수익,1118000
2025-05-31,이자비용,비용,1291000
2025-06-01,잡손실,비용,1143086
2025-06-03,소모품비,비용,409000
2025-06-03,매출,수익,5333000
2025-06-05,임차료,비용,6000000
2025-06-05,매출원가,비용,17519000
2025-06-06,매출원가,비용,11243000
2025-06-06,지급수수료,비용,276000
2025-06-06,매출,수익,9251000
2025-06-07,매출원가,비용,14748000
2025-06-07,매출,수익,18851000
2025-06-07,매출,수익,6390000
2025-06-09,매출원가,비용,6913000
2025-06-09,매출,수익,11934000
2025-06-10,매출,수익,24455000
2025-06-10,광고선전비,비용,2857000
2025-06-11,지급수수료,비용,1577000
2025-06-12,광고선전비,비용,1817000
2025-06-13,매출,수익,12123000
2025-06-14,매출,수익,11829000
2025-06-14,소모품비,비용,546000
2025-06-15,매출,수익,10075000
2025-06-15,매출원가,비용,4246000
2025-06-16,매출원가,비용,13171000
2025-06-17,매출,수익,4781000
2025-06-19,매출원가,비용,4603000
2025-06-24,매출원가,비용,6437000
2025-06-24,광고선전비,비용,2789000
2025-06-24,광고선전비,비용,1450000
2025-06-25,급여,비용,42784000
2025-06-25,매출,수익,19182000
2025-06-25,매출,수익,15962000
2025-06-26,매출,수익,20152000
2025-06-27,매출원가,비용,7858000
2025-06-28,소모품비,비용,179000
2025-06-30,매출,수익,9564000
2025-06-30,이자수익,수익,1011000
2025-06-30,이자비용,비용,1263000
2025-07-01,매출원가,비용,16705000
2025-07-01,매출원가,비용,5329000
2025-07-03,소모품비,비용,481000
2025-07-05,임차료,비용,6000000
2025-07-05,소모품비,비용,289000
2025-07-06,매출,수익,5871000
2025-07-07,매출,수익,14920000
2025-07-09,매출원가,비용,13911000
2025-07-09,광고선전비,비용,3539000
2025-07-11,매출,수익,10324000
2025-07-13,매출,수익,3938000
2025-07-14,매출원가,비용,7778000
2025-07-16,소모품비,비용,462000
2025-07-18,매출,수익,15823000
2025-07-19,매출,수익,17154000
2025-07-21,매출,수익,11623000
2025-07-22,매출,수익,17619000
2025-07-23,지급수수료,비용,638000
2025-07-23,매출원가,비용,19753000
2025-07-24,지급수수료,비용,1119000
2025-07-24,광고선전비,비용,1022000
2025-07-24,지급수수료,비용,398000
2025-07-24,광고선전비,비용,2474000
2025-07-24,매출,수익,26009000
2025-07-24,매출,수익,4513000
2025-07-25,매출,수익,15739000
2025-07-25,급여,비용,41311000
2025-07-28,매출원가,비용,23549000
2025-07-28,매출,수익,23199000
2025-07-30,광고선전비,비용,575000
2025-07-30,매출,수익,4602000
2025-07-31,이자비용,비용,1565000
2025-07-31,이자수익,수익,1101000
2025-08-03,매출,수익,6566000
2025-08-03,매출원가,비용,9593000
2025-08-04,매출,수익,11217000
2025-08-05,임차료,비용,6000000
2025-08-08,지급수수료,비용,965000
2025-08-09,소모품비,비용,424000
2025-08-11,매출,수익,22680000
2025-08-13,매출,수익,6828000
2025-08-15,매출,수익,8233000
2025-08-17,지급수수료,비용,1377000
2025-08-18,매출원가,비용,20895000
2025-08-19,매출,수익,22603000
2025-08-19,매출원가,비용,4739000
2025-08-19,광고선전비,비용,771000
2025-08-20,매출원가,비용,12025000
2025-08-21,소모품비,비용,321000
2025-08-22,매출원가,비용,13526000
2025-08-23,광고선전비,비용,5495000
2025-08-23,매출,수익,16929000
2025-08-24,매출원가,비용,8455000
2025-08-24,매출원가,비용,13191000
2025-08-25,매출원가,비용,12346000
2025-08-25,매출,수익,23271000
2025-08-25,급여,비용,41907000
2025-08-25,매출,수익,22494000
2025-08-26,매출,수익,7146000
2025-08-27,광고선전비,비용,1469000
2025-08-27,매출원가,비용,7333000
2025-08-27,매출,수익,14828000
2025-08-27,매출,수익,7981000
2025-08-28,매출,수익,13271000
2025-08-29,소모품비,비용,590000
2025-08-31,이자수익,수익,1072000
2025-08-31,이자비용,비용,1130000
2025-09-03,지급수수료,비용,166000
2025-09-03,소모품비,비용,203000
2025-09-04,매출,수익,9692000
2025-09-05,광고선전비,비용,4569000
2025-09-05,임차료,비용,6000000
