문서명,문서유형,관리번호,등록일,보존연한,보존만료일,처리상태,인장사용여부
사규 1,사규,D0001,2021-01-28,10,2031-01-26,보관중,Y
사규 2,사규,D0002,2024-09-29,10,2034-09-27,보관중,Y
사규 3,사규,D0003,2020-02-17,10,2030-02-14,보관중,N
사규 4,사규,D0004,2021-07-08,10,2031-07-06,보관중,Y
사규 5,사규,D0005,2025-02-16,10,2035-02-14,보관중,N
사규 6,사규,D0006,2020-04-07,10,2030-04-05,보관중,Y
대외발신문서 7,대외발신문서,D0007,2020-12-22,5,2025-12-21,폐기완료,Y
대외발신문서 8,대외발신문서,D0008,2025-05-04,5,2030-05-03,보관중,N
대외발신문서 9,대외발신문서,D0009,2022-12-12,5,2027-12-11,보관중,Y
대외발신문서 10,대외발신문서,D0010,2021-09-27,5,2026-09-26,보관중,Y
대외발신문서 11,대외발신문서,D0011,2022-02-03,5,2027-02-02,보관중,N
대외발신문서 12,대외발신문서,D0012,2021-04-12,5,2026-04-11,폐기대상,N
계약서사본 13,계약서사본,D0013,2026-05-07,10,2036-05-04,보관중,N
계약서사본 14,계약서사본,D0014,2017-06-27,10,2027-06-25,보관중,N
계약서사본 15,계약서사본,D0015,2019-07-03,10,2029-06-30,보관중,N
계약서사본 16,계약서사본,D0016,2022-10-23,10,2032-10-20,보관중,Y
계약서사본 17,계약서사본,D0017,2015-12-01,10,2025-11-28,폐기완료,N
계약서사본 18,계약서사본,D0018,2020-04-14,10,2030-04-12,보관중,N
품의서 19,품의서,D0019,2023-11-11,5,2028-11-09,보관중,N
품의서 20,품의서,D0020,2021-12-04,5,2026-12-03,보관중,Y
품의서 21,품의서,D0021,2021-05-24,5,2026-05-23,폐기완료,N
품의서 22,품의서,D0022,2020-12-23,5,2025-12-22,폐기대상,Y
품의서 23,품의서,D0023,2021-12-10,5,2026-12-09,보관중,N
품의서 24,품의서,D0024,2022-08-22,5,2027-08-21,보관중,Y
인사기록 25,인사기록,D0025,1998-09-20,30,2028-09-12,보관중,Y
인사기록 26,인사기록,D0026,1996-11-08,30,2026-11-01,보관중,Y
인사기록 27,인사기록,D0027,2012-10-15,30,2042-10-08,보관중,Y
인사기록 28,인사기록,D0028,2010-05-04,30,2040-04-26,보관중,N
인사기록 29,인사기록,D0029,1999-09-03,30,2029-08-26,보관중,N
인사기록 30,인사기록,D0030,2003-12-14,30,2033-12-06,보관중,N
