계약번호,계약명,계약유형,담당부서,상대방,체결일,계약금액,하드본보관여부,하드본보관위치,소프트본보유여부,손해배상상한,관할법원,비밀유지,불가항력,지식재산권귀속
L0001,미래ENG 공급계약,공급계약,구매팀,미래ENG,2025-05-11,242800000,Y,지점 보관함,Y,Y,Y,Y,Y,해당없음
L0002,서울전자유통 용역계약,용역계약,마케팅팀,서울전자유통,2024-09-27,276400000,Y,지점 보관함,Y,Y,Y,N,Y,Y
L0003,코스모기술 비밀유지계약(NDA),비밀유지계약(NDA),영업팀,코스모기술,2024-04-26,140400000,Y,법무팀 캐비닛,Y,N,Y,Y,N,해당없음
L0004,우리텍 라이선스계약,라이선스계약,구매팀,우리텍,2025-11-09,113700000,Y,지점 보관함,Y,N,N,N,N,Y
L0005,코스모기술 비밀유지계약(NDA),비밀유지계약(NDA),마케팅팀,코스모기술,2024-03-03,231600000,Y,법무팀 캐비닛,N,Y,Y,Y,N,해당없음
L0006,그린산업 용역계약,용역계약,영업팀,그린산업,2024-05-22,67200000,Y,지점 보관함,Y,N,Y,Y,Y,Y
L0007,노바파트너스 임대차계약,임대차계약,경영지원팀,노바파트너스,2026-01-21,139500000,Y,법무팀 캐비닛,Y,N,Y,N,Y,해당없음
L0008,미래ENG 용역계약,용역계약,개발팀,미래ENG,2025-02-04,32100000,N,분실,Y,Y,Y,Y,N,Y
L0009,우리텍 용역계약,용역계약,개발팀,우리텍,2024-07-07,188500000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,N
L0010,우리텍 용역계약,용역계약,개발팀,우리텍,2024-02-26,110000000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,Y
L0011,브릿지랩 파트너십계약,파트너십계약,영업팀,브릿지랩,2024-05-26,83000000,Y,지점 보관함,Y,Y,Y,Y,Y,N
L0012,다우설비 용역계약,용역계약,구매팀,다우설비,2024-04-06,179900000,Y,법무팀 캐비닛,Y,N,Y,N,N,N
L0013,한빛물류 용역계약,용역계약,마케팅팀,한빛물류,2025-09-08,287200000,Y,법무팀 캐비닛,Y,Y,Y,Y,N,N
L0014,코스모기술 공급계약,공급계약,개발팀,코스모기술,2026-02-09,196200000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,해당없음
L0015,미래ENG 용역계약,용역계약,경영지원팀,미래ENG,2024-12-02,227900000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,Y
L0016,센트럴시스템즈 비밀유지계약(NDA),비밀유지계약(NDA),구매팀,센트럴시스템즈,2024-06-06,222800000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,해당없음
L0017,코스모기술 파트너십계약,파트너십계약,경영지원팀,코스모기술,2024-09-11,291000000,Y,법무팀 캐비닛,Y,N,Y,Y,N,Y
L0018,대한상사 용역계약,용역계약,영업팀,대한상사,2026-06-10,118300000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,Y
L0019,다우설비 공급계약,공급계약,영업팀,다우설비,2025-02-11,149700000,Y,법무팀 캐비닛,Y,Y,Y,Y,Y,해당없음
L0020,청년기업협동조합 비밀유지계약(NDA),비밀유지계약(NDA),개발팀,청년기업협동조합,2026-02-18,22700000,Y,지점 보관함,Y,Y,Y,Y,N,해당없음
L0021,한빛물류 공급계약,공급계약,개발팀,한빛물류,2024-04-23,22500000,N,분실,Y,Y,Y,Y,Y,해당없음
