계약번호,계약명,공급업체,계약유형,발주기관유형,계약금액,계약시작일,계약종료일,계약상태
C0001,대한상사 용역 계약 1,대한상사,용역,민간,290600000,2024-02-11,2024-12-13,종료
C0002,한빛물류 용역 계약 2,한빛물류,용역,민간,120000000,2024-08-11,2025-02-15,종료
C0003,대한상사 용역 계약 3,대한상사,용역,민간,232700000,2024-05-27,2025-03-30,종료
C0004,대한상사 공사 계약 4,대한상사,공사,공공,261800000,2024-09-08,2025-06-10,종료
C0005,한빛물류 물품 계약 5,한빛물류,물품,민간,102900000,2024-01-29,2024-12-25,종료
C0006,대한상사 물품 계약 6,대한상사,물품,공공,39200000,2024-09-28,2025-06-20,종료
C0007,대한상사 물품 계약 7,대한상사,물품,민간,114700000,2025-11-05,2026-05-22,종료
C0008,대한상사 물품 계약 8,대한상사,물품,공공,244500000,2024-01-24,2024-10-29,종료
C0009,우리텍 물품 계약 9,우리텍,물품,민간,243900000,2024-10-31,2025-09-06,종료
C0010,대한상사 물품 계약 10,대한상사,물품,민간,191100000,2024-05-25,2025-02-15,종료
C0011,대한상사 물품 계약 11,대한상사,물품,민간,113200000,2025-04-07,2026-02-01,종료
C0012,센트럴시스템즈 용역 계약 12,센트럴시스템즈,용역,민간,266500000,2024-11-26,2025-05-03,종료
C0013,미래ENG 물품 계약 13,미래ENG,물품,민간,182700000,2024-06-10,2025-01-20,종료
C0014,코스모기술 공사 계약 14,코스모기술,공사,민간,196300000,2024-04-15,2025-02-15,종료
C0015,한빛물류 물품 계약 15,한빛물류,물품,민간,299100000,2025-03-13,2025-07-13,종료
C0016,미래ENG 공사 계약 16,미래ENG,공사,공공,25400000,2025-12-11,2026-04-14,해지
C0017,우리텍 공사 계약 17,우리텍,공사,민간,31200000,2025-09-22,2025-12-09,해지
C0018,대한상사 용역 계약 18,대한상사,용역,민간,309800000,2025-08-18,2026-08-05,진행중
C0019,그린산업 공사 계약 19,그린산업,공사,민간,33900000,2025-12-14,2026-08-20,진행중
C0020,서울전자유통 물품 계약 20,서울전자유통,물품,민간,101900000,2025-11-28,2026-09-15,진행중
C0021,미래ENG 용역 계약 21,미래ENG,용역,공공,218000000,2025-09-20,2026-09-25,진행중
C0022,대한상사 물품 계약 22,대한상사,물품,민간,146100000,2026-05-20,2026-11-26,진행중
C0023,대한상사 공사 계약 23,대한상사,공사,민간,314100000,2026-01-18,2027-02-14,진행중
C0024,한빛물류 물품 계약 24,한빛물류,물품,민간,340600000,2026-07-24,2027-04-15,진행중
C0025,한빛물류 물품 계약 25,한빛물류,물품,민간,257500000,2026-06-01,2027-07-04,진행중
C0026,청년기업협동조합 물품 계약 26,청년기업협동조합,물품,민간,259500000,2026-11-23,2027-09-02,진행중
C0027,다우설비 용역 계약 27,다우설비,용역,민간,176900000,2027-05-28,2027-12-11,진행중
