발주번호,발주일자,공급업체,품목카테고리,수량,단가,금액
P00001,2025-01-01,서울전자유통,용역,35,81000,2835000
P00002,2025-01-01,대한상사,원부자재,29,103800,3010200
P00003,2025-01-01,한빛물류,사무용품,40,93300,3732000
P00004,2025-01-01,서울전자유통,용역,15,82700,1240500
P00005,2025-01-01,한빛물류,사무용품,16,106100,1697600
P00006,2025-01-01,우리텍,사무용품,36,92600,3333600
P00007,2025-01-02,대한상사,소모품,12,111000,1332000
P00008,2025-01-02,대한상사,소모품,1,118100,118100
P00009,2025-01-02,한빛물류,원부자재,19,108200,2055800
P00010,2025-01-03,코스모기술,원부자재,14,116500,1631000
P00011,2025-01-03,대한상사,소모품,35,115600,4046000
P00012,2025-01-03,미래ENG,물류/운송,8,39900,319200
P00013,2025-01-03,대한상사,소모품,9,114800,1033200
P00014,2025-01-03,서울전자유통,용역,8,77300,618400
P00015,2025-01-06,대한상사,소모품,10,112000,1120000
P00016,2025-01-06,한빛물류,원부자재,6,121300,727800
P00017,2025-01-08,대한상사,소모품,10,120200,1202000
P00018,2025-01-08,한빛물류,원부자재,25,103100,2577500
P00019,2025-01-08,한빛물류,원부자재,13,106100,1379300
P00020,2025-01-08,한빛물류,사무용품,48,101100,4852800
P00021,2025-01-08,대한상사,원부자재,45,117200,5274000
P00022,2025-01-09,서울전자유통,용역,18,70900,1276200
P00023,2025-01-09,그린산업,설비,17,95000,1615000
P00024,2025-01-09,한빛물류,사무용품,23,105300,2421900
P00025,2025-01-10,코스모기술,소모품,47,113500,5334500
P00026,2025-01-10,한빛물류,사무용품,1,91400,91400
P00027,2025-01-13,코스모기술,원부자재,23,116800,2686400
P00028,2025-01-14,대한상사,소모품,15,120900,1813500
P00029,2025-01-14,한빛물류,원부자재,8,109100,872800
P00030,2025-01-14,한빛물류,사무용품,28,98100,2746800
P00031,2025-01-14,다우설비,소모품,33,103300,3408900
P00032,2025-01-15,대한상사,소모품,11,120600,1326600
P00033,2025-01-15,미래ENG,물류/운송,38,41500,1577000
P00034,2025-01-15,대한상사,원부자재,22,117600,2587200
P00035,2025-01-16,한빛물류,사무용품,36,99200,3571200
P00036,2025-01-16,서울전자유통,사무용품,3,91600,274800
P00037,2025-01-16,그린산업,원부자재,12,120800,1449600
P00038,2025-01-16,우리텍,사무용품,31,101100,3134100
P00039,2025-01-17,대한상사,원부자재,25,105700,2642500
P00040,2025-01-17,대한상사,원부자재,12,115400,1384800
P00041,2025-01-17,서울전자유통,용역,13,79400,1032200
P00042,2025-01-20,코스모기술,원부자재,40,109900,4396000
P00043,2025-01-21,대한상사,소모품,44,113200,4980800
P00044,2025-01-21,서울전자유통,용역,37,79600,2945200
P00045,2025-01-21,서울전자유통,용역,45,73300,3298500
P00046,2025-01-22,대한상사,소모품,4,117600,470400
P00047,2025-01-23,대한상사,소모품,12,111600,1339200
P00048,2025-01-23,코스모기술,소모품,16,122600,1961600
P00049,2025-01-23,대한상사,소모품,44,118400,5209600
P00050,2025-01-23,다우설비,소모품,15,124600,1869000
P00051,2025-01-24,대한상사,원부자재,9,115400,1038600
P00052,2025-01-24,대한상사,원부자재,7,104800,733600
P00053,2025-01-24,대한상사,원부자재,36,118500,4266000
P00054,2025-01-27,미래ENG,물류/운송,23,40400,929200
P00055,2025-01-27,한빛물류,원부자재,5,109000,545000
P00056,2025-01-27,대한상사,소모품,43,111200,4781600
P00057,2025-01-27,다우설비,소모품,24,104600,2510400
P00058,2025-01-28,서울전자유통,사무용품,29,103300,2995700
P00059,2025-01-28,서울전자유통,용역,41,78600,3222600
P00060,2025-01-28,그린산업,원부자재,24,103500,2484000
P00061,2025-01-28,한빛물류,원부자재,21,105700,2219700
P00062,2025-01-29,서울전자유통,사무용품,47,104200,4897400
P00063,2025-01-30,미래ENG,물류/운송,8,39600,316800
P00064,2025-01-30,한빛물류,사무용품,4,96200,384800
P00065,2025-01-30,한빛물류,원부자재,37,104500,3866500
P00066,2025-01-31,그린산업,원부자재,40,107300,4292000
P00067,2025-01-31,한빛물류,사무용품,45,95300,4288500
P00068,2025-01-31,미래ENG,물류/운송,39,41500,1618500
P00069,2025-01-31,코스모기술,소모품,12,120200,1442400
P00070,2025-02-03,다우설비,소모품,21,102900,2160900
P00071,2025-02-03,서울전자유통,용역,7,70600,494200
P00072,2025-02-03,대한상사,소모품,44,103300,4545200
P00073,2025-02-03,한빛물류,원부자재,3,104800,314400
P00074,2025-02-03,대한상사,소모품,23,111100,2555300
P00075,2025-02-03,코스모기술,소모품,36,117400,4226400
P00076,2025-02-04,대한상사,소모품,8,122700,981600
P00077,2025-02-04,서울전자유통,용역,22,70900,1559800
P00078,2025-02-04,미래ENG,물류/운송,20,42100,842000
P00079,2025-02-05,대한상사,소모품,22,103600,2279200
P00080,2025-02-05,미래ENG,물류/운송,48,40400,1939200
P00081,2025-02-05,미래ENG,물류/운송,45,37100,1669500
P00082,2025-02-05,대한상사,원부자재,42,100600,4225200
P00083,2025-02-05,우리텍,사무용품,46,108000,4968000
P00084,2025-02-05,다우설비,소모품,49,109900,5385100
P00085,2025-02-05,코스모기술,원부자재,45,107500,4837500
P00086,2025-02-06,서울전자유통,사무용품,43,93700,4029100
